param_model__C,param_model__gamma,mean_test_score,std_test_score,mean_fit_time
0.1,scale,0.9377145618934251,0.018035401330066425,0.15712642669677734
0.1,0.01,0.9420777052286757,0.014346509073382314,0.09510312080383301
0.1,0.1,0.9341348980971171,0.015686790810568795,0.1110952377319336
1.0,scale,0.9669402274244406,0.015965597957213588,0.054336929321289064
1.0,0.01,0.9690407749147297,0.01628269880928693,0.07861638069152832
1.0,0.1,0.9533230330206756,0.012853369084693056,0.12351083755493164
10.0,scale,0.9670861669558555,0.013638400817014744,0.05451383590698242
10.0,0.01,0.9738878509919948,0.01767667524460028,0.028770589828491212
10.0,0.1,0.9375316134071167,0.023718217533153528,0.0626652717590332
